Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2018,March,3 Southern Metro, Greater Dandenong,"13,628","8,202.7"
2018,March,3 Southern Metro, Kingston,"7,907","4,837.5"
2018,March,3 Southern Metro, Mornington Peninsula,"8,519","5,137.4"
2018,March,3 Southern Metro, Port Phillip,"9,799","8,651.4"
2018,March,3 Southern Metro, Stonnington,"8,005","6,884.2"
2018,March,3 Southern Metro,Total,"86,730","5,510.0"
2018,March,4 Western, Ararat,884,"7,494.7"
2018,March,4 Western, Ballarat,"8,900","8,292.6"
2018,March,4 Western, Buloke,168,"2,717.1"
2018,March,4 Western, Campaspe,"2,511","6,680.0"
2018,March,4 Western, Central Goldfields,907,"6,867.1"
2018,March,4 Western, Colac-Otway,"1,242","5,776.2"
2018,March,4 Western, Corangamite,620,"3,841.6"
2018,March,4 Western, Gannawarra,417,"3,954.1"
2018,March,4 Western, Glenelg,"1,196","6,082.2"
2018,March,4 Western, Golden Plains,481,"2,080.6"
2018,March,4 Western, Greater Bendigo,"7,089","6,109.0"
2018,March,4 Western, Greater Geelong,"16,864","6,686.0"
2018,March,4 Western, Hepburn,639,"4,041.2"
2018,March,4 Western, Hindmarsh,253,"4,482.6"
2018,March,4 Western, Horsham,"1,637","8,236.9"
2018,March,4 Western, Loddon,317,"4,219.4"
2018,March,4 Western, Macedon Ranges,"1,523","3,083.8"
2018,March,4 Western, Mildura,"4,822","8,685.8"
2018,March,4 Western, Moorabool,"1,823","5,337.3"
2018,March,4 Western, Mount Alexander,733,"3,756.3"
2018,March,4 Western, Moyne,464,"2,747.7"
2018,March,4 Western, Northern Grampians,802,"7,016.6"
2018,March,4 Western, Pyrenees,307,"4,175.2"
2018,March,4 Western, Queenscliffe,108,"3,621.7"
2018,March,4 Western, Southern Grampians,"1,004","6,222.9"
2018,March,4 Western, Surf Coast,952,"2,951.8"
2018,March,4 Western, Swan Hill,"1,752","8,439.3"
2018,March,4 Western, Warrnambool,"2,707","7,764.7"
2018,March,4 Western, West Wimmera,114,"2,951.8"
2018,March,4 Western, Yarriambiack,358,"5,377.0"
2018,March,4 Western,Total,"61,594","6,184.5"
2018,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,"1,476",
2018,March,Justice Institutions and Immigration Facilities,Total,"1,476",
2018,March,Unincorporated Vic, Unincorporated Vic,117,
2018,March,Unincorporated Vic,Total,117,
2017,March,1 North West Metro, Banyule,"7,447","5,767.7"
2017,March,1 North West Metro, Brimbank,"14,674","7,089.0"
2017,March,1 North West Metro, Darebin,"13,201","8,315.5"
2017,March,1 North West Metro, Hobsons Bay,"5,229","5,500.1"
2017,March,1 North West Metro, Hume,"17,033","7,913.6"
2017,March,1 North West Metro, Maribyrnong,"7,193","8,049.3"
